,file,raw_name,scale,scope,model_key,lookup_key,model_family,variant,benchmark,benchmark_eval,client,weighted_accuracy,categories,subcategories,match_key,benchmark_norm,STEM,go,gsm8k,humanities,java,javascript,"other (business, health, misc.)",php,python,ruby,social sciences
0,eval_result/accuracies_ckpts_baselines_llama2_all_in_one.ckpt.json,baselines_llama2_all_in_one,default,baseline,llama2,llama2,LLaMA 2,Baseline (All-in-one),all_in_one,all_in_one,,0.4137587238285145,"{'STEM': 0.35321404903909875, 'humanities': 0.3534537725823592, 'social sciences': 0.4926876828079298, 'other (business, health, misc.)': 0.48272671190623073}",{},"('baseline', 'default', 'llama2', 'all_in_one', '')",mmlu,0.35321404903909875,,,0.3534537725823592,,,0.48272671190623073,,,,0.4926876828079298
1,eval_result/accuracies_ckpts_full_baselines_llama2_all_in_one.ckpt.json,full_baselines_llama2_all_in_one,full,baseline,llama2,llama2,LLaMA 2,Baseline (All-in-one),all_in_one,all_in_one,,0.4115510611024071,"{'STEM': 0.36713055003313455, 'humanities': 0.3424017003188098, 'social sciences': 0.48423789405264867, 'other (business, health, misc.)': 0.4842689697717458}",{},"('baseline', 'full', 'llama2', 'all_in_one', '')",mmlu,0.36713055003313455,,,0.3424017003188098,,,0.4842689697717458,,,,0.48423789405264867
2,eval_result/accuracies_ckpts_full_baselines_llama2_all_in_one.ckpt__code.json,full_baselines_llama2_all_in_one,full,baseline,llama2,llama2,LLaMA 2,Baseline (All-in-one),all_in_one,code,,0.5340250077092182,"{'python': 0.5418921356421357, 'javascript': 0.5170445781274101, 'java': 0.5313835519714594, 'ruby': 0.5436594997806056, 'php': 0.5448557641506111, 'go': 0.511440766916241}",{},"('baseline', 'full', 'llama2', 'all_in_one', '')",code,,0.511440766916241,,,0.5313835519714594,0.5170445781274101,,0.5448557641506111,0.5418921356421357,0.5436594997806056,
3,eval_result/accuracies_ckpts_full_baselines_llama2_all_in_one.ckpt__gsm8k.json,full_baselines_llama2_all_in_one,full,baseline,llama2,llama2,LLaMA 2,Baseline (All-in-one),all_in_one,gsm8k,,0.07050796057619409,{'gsm8k': 0.07050796057619409},{},"('baseline', 'full', 'llama2', 'all_in_one', '')",gsm8k,,,0.07050796057619409,,,,,,,,
4,eval_result/accuracies_ckpts_baselines_llama2_code_local.ckpt.json,baselines_llama2_code_local,default,baseline,llama2,llama2,LLaMA 2,Baseline (Code Local),code_local,code_local,,0.3721692066657171,"{'STEM': 0.3442677269715043, 'humanities': 0.32688629117959617, 'social sciences': 0.433539161520962, 'other (business, health, misc.)': 0.405613818630475}",{},"('baseline', 'default', 'llama2', 'code_local', '')",code,0.3442677269715043,,,0.32688629117959617,,,0.405613818630475,,,,0.433539161520962
5,eval_result/accuracies_ckpts_full_baselines_llama2_code_local.ckpt.json,full_baselines_llama2_code_local,full,baseline,llama2,llama2,LLaMA 2,Baseline (Code Local),code_local,code_local,,0.3378436120210796,"{'STEM': 0.28793903247183567, 'humanities': 0.30350690754516474, 'social sciences': 0.37081572960675985, 'other (business, health, misc.)': 0.4028377544725478}",{},"('baseline', 'full', 'llama2', 'code_local', '')",code,0.28793903247183567,,,0.30350690754516474,,,0.4028377544725478,,,,0.37081572960675985
6,eval_result/accuracies_ckpts_full_baselines_llama2_code_local.ckpt__code.json,full_baselines_llama2_code_local,full,baseline,llama2,llama2,LLaMA 2,Baseline (Code Local),code_local,code,,0.5082811924917188,"{'python': 0.5100108225108225, 'javascript': 0.5110288446706771, 'java': 0.5060017094652347, 'ruby': 0.5142606406318561, 'php': 0.5062167588320242, 'go': 0.5117906374641382}",{},"('baseline', 'full', 'llama2', 'code_local', '')",code,,0.5117906374641382,,,0.5060017094652347,0.5110288446706771,,0.5062167588320242,0.5100108225108225,0.5142606406318561,
7,eval_result/accuracies_ckpts_full_baselines_llama2_code_local.ckpt__gsm8k.json,full_baselines_llama2_code_local,full,baseline,llama2,llama2,LLaMA 2,Baseline (Code Local),code_local,gsm8k,,0.053828658074298714,{'gsm8k': 0.053828658074298714},{},"('baseline', 'full', 'llama2', 'code_local', '')",gsm8k,,,0.053828658074298714,,,,,,,,
8,eval_result/accuracies_ckpts_baselines_llama2_gsm8k_local.ckpt.json,baselines_llama2_gsm8k_local,default,baseline,llama2,llama2,LLaMA 2,Baseline (Gsm8K Local),gsm8k_local,gsm8k_local,,0.36155818259507194,"{'STEM': 0.31245858184227965, 'humanities': 0.3281615302869288, 'social sciences': 0.3945401364965876, 'other (business, health, misc.)': 0.4244293645897594}",{},"('baseline', 'default', 'llama2', 'gsm8k_local', '')",gsm8k,0.31245858184227965,,,0.3281615302869288,,,0.4244293645897594,,,,0.3945401364965876
9,eval_result/accuracies_ckpts_full_baselines_llama2_gsm8k_local.ckpt.json,full_baselines_llama2_gsm8k_local,full,baseline,llama2,llama2,LLaMA 2,Baseline (Gsm8K Local),gsm8k_local,gsm8k_local,,0.3886910696481983,"{'STEM': 0.3326706428098078, 'humanities': 0.338788522848034, 'social sciences': 0.4452388690282743, 'other (business, health, misc.)': 0.459592843923504}",{},"('baseline', 'full', 'llama2', 'gsm8k_local', '')",gsm8k,0.3326706428098078,,,0.338788522848034,,,0.459592843923504,,,,0.4452388690282743
